# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-10 12:11:29.316084
# There were exactly 2 units in this simulation
Time,Environment,Environment-unisel,Agent,Agent-unisel,
0,-0.05762626,0.00000000,0.62063709,1.00000000,
1,-0.05675997,0.00000000,0.62673853,1.00000000,
2,-0.05664403,0.00000000,0.60489178,1.00000000,
3,-0.05583076,0.00000000,0.60931205,1.00000000,
4,-0.05497255,0.00000000,0.65511704,1.00000000,
5,-0.05446763,0.00000000,0.67129657,1.00000000,
6,-0.05329869,0.00000000,0.65734471,1.00000000,
7,-0.05177006,0.00000000,0.63782662,1.00000000,
8,-0.05012817,0.00000000,0.63340069,1.00000000,
9,-0.04824414,0.00000000,0.63353618,1.00000000,
10,-0.04616604,0.00000000,0.64899010,1.00000000,
11,-0.04354991,0.00000000,0.65363617,1.00000000,
12,-0.04105406,0.00000000,0.68518154,1.00000000,
13,-0.03819148,0.00000000,0.68384678,1.00000000,
14,-0.03548890,0.00000000,0.70846303,1.00000000,
15,-0.03231119,0.00000000,0.74495539,1.00000000,
16,-0.02888490,0.00000000,0.73017709,1.00000000,
17,-0.02524028,0.00000000,0.73884749,1.00000000,
18,-0.02139191,0.00000000,0.75747534,1.00000000,
19,-0.01758536,0.00000000,0.81204639,1.00000000,
20,-0.01350627,0.00000000,0.81128015,1.00000000,
21,-0.00910539,0.00000000,0.80481623,1.00000000,
22,-0.00457468,0.00000000,0.82897427,1.00000000,
23,0.00014763,0.00000000,0.82864778,1.00000000,
24,0.00508256,0.00000000,0.88250085,1.00000000,
25,0.01020607,0.00000000,0.88359272,1.00000000,
26,0.01555081,0.00000000,0.92335401,1.00000000,
27,0.02107183,0.00000000,0.93207039,1.00000000,
28,0.02677784,0.00000000,0.94982011,1.00000000,
29,0.03276118,0.00000000,0.93440877,1.00000000,
30,0.03885489,0.00000000,0.93281038,1.00000000,
31,0.04497954,0.00000000,0.96020771,1.00000000,
32,0.05127183,0.00000000,0.97040020,1.00000000,
33,0.05749245,0.00000000,0.95991965,1.00000000,
34,0.06432858,0.00000000,0.97436846,1.00000000,
35,0.07085054,0.00000000,0.98574445,1.00000000,
36,0.07836979,0.00000000,1.01379247,1.00000000,
37,0.08658273,0.00000000,1.00226858,1.00000000,
38,0.09372572,0.00000000,0.94395649,1.00000000,
39,0.10133382,0.00000000,0.99430601,1.00000000,
40,0.10957522,0.00000000,1.03339550,1.00000000,
41,0.11757119,0.00000000,1.04234353,1.00000000,
42,0.12488423,0.00000000,1.07061436,1.00000000,
43,0.13335539,0.00000000,1.03647831,1.00000000,
44,0.14274723,0.00000000,1.02508380,1.00000000,
45,0.14998862,0.00000000,1.00758700,1.00000000,
46,0.15986687,0.00000000,1.02840180,1.00000000,
47,0.16792911,0.00000000,1.08178369,1.00000000,
48,0.17603061,0.00000000,1.13084800,1.00000000,
49,0.18719992,0.00000000,1.14251976,1.00000000,
50,0.19731196,0.00000000,1.17256005,1.00000000,
51,0.20512826,0.00000000,1.24044839,1.00000000,
52,0.21635950,0.00000000,1.28011520,1.00000000,
53,0.22695520,0.00000000,1.29565143,1.00000000,
54,0.23927303,0.00000000,1.22957201,1.00000000,
55,0.25014475,0.00000000,1.27379995,1.00000000,
56,0.26005345,0.00000000,1.32474128,1.00000000,
57,0.27322170,0.00000000,1.44158549,1.00000000,
58,0.28450146,0.00000000,1.36041015,1.00000000,
59,0.29846107,0.00000000,1.31829440,1.00000000,
60,0.31014240,0.00000000,1.32598446,1.00000000,
61,0.32433915,0.00000000,1.34056686,1.00000000,
62,0.33793660,0.00000000,1.33542193,1.00000000,
63,0.34921043,0.00000000,1.39360316,1.00000000,
64,0.35973941,0.00000000,1.40041429,1.00000000,
65,0.37261942,0.00000000,1.36551056,1.00000000,
66,0.38193185,0.00000000,1.38332465,1.00000000,
67,0.39143726,0.00000000,1.38205696,1.00000000,
68,0.40295167,0.00000000,1.46675355,1.00000000,
69,0.41963473,0.00000000,1.47971225,1.00000000,
70,0.43338937,0.00000000,1.48649827,1.00000000,
71,0.44516801,0.00000000,1.56325605,1.00000000,
72,0.46045443,0.00000000,1.52932382,1.00000000,
73,0.47461642,0.00000000,1.53923805,1.00000000,
74,0.48782158,0.00000000,1.59239082,1.00000000,
75,0.50254864,0.00000000,1.65873404,1.00000000,
76,0.51439941,0.00000000,1.69554374,1.00000000,
77,0.53043983,0.00000000,1.69756621,1.00000000,
78,0.53777866,0.00000000,1.68164439,1.00000000,
79,0.55707359,0.00000000,1.66078562,1.00000000,
80,0.57338464,0.00000000,1.63216933,1.00000000,
81,0.58564082,0.00000000,1.64409875,1.00000000,
82,0.59381858,0.00000000,1.64579704,1.00000000,
83,0.61027111,0.00000000,1.65166339,1.00000000,
84,0.62511338,0.00000000,1.67801969,1.00000000,
85,0.64316570,0.00000000,1.70358449,1.00000000,
86,0.66135479,0.00000000,1.71597044,1.00000000,
87,0.67931865,0.00000000,1.75014165,1.00000000,
88,0.69453437,0.00000000,1.69059089,1.00000000,
89,0.70782931,0.00000000,1.70174782,1.00000000,
90,0.72204822,0.00000000,1.82696602,1.00000000,
91,0.73874269,0.00000000,1.77969731,1.00000000,
92,0.76263078,0.00000000,1.73881768,1.00000000,
93,0.77997809,0.00000000,1.66217093,1.00000000,
94,0.80093592,0.00000000,1.69593893,1.00000000,
95,0.81566093,0.00000000,1.63756982,1.00000000,
96,0.83845312,0.00000000,1.67598883,1.00000000,
97,0.85129793,0.00000000,1.70794871,1.00000000,
98,0.86119493,0.00000000,1.75543234,1.00000000,
99,0.87898167,0.00000000,1.81349289,1.00000000,
100,0.89644422,0.00000000,1.83916398,1.00000000,
101,0.92352658,0.00000000,1.79509046,1.00000000,
102,0.94440552,0.00000000,1.80022711,1.00000000,
103,0.96333793,0.00000000,1.71338978,1.00000000,
104,0.98063064,0.00000000,1.78501033,1.00000000,
105,1.00646899,0.00000000,1.75224741,1.00000000,
106,1.03325597,0.00000000,1.73440973,1.00000000,
107,1.05562948,0.00000000,1.71650030,1.00000000,
108,1.07550655,0.00000000,1.74083720,1.00000000,
109,1.09613843,0.00000000,1.69523916,1.00000000,
110,1.11800998,0.00000000,1.72768115,1.00000000,
111,1.13874566,0.00000000,1.74355294,1.00000000,
112,1.17025427,0.00000000,1.83037074,1.00000000,
113,1.18873604,0.00000000,1.78618921,1.00000000,
114,1.19711996,0.00000000,1.78523088,1.00000000,
115,1.22102734,0.00000000,1.89001488,1.00000000,
116,1.23501118,0.00000000,1.86825663,1.00000000,
117,1.25594517,0.00000000,1.92540015,1.00000000,
118,1.27504616,0.00000000,2.11281147,1.00000000,
119,1.29247904,0.00000000,2.24701490,1.00000000,
120,1.32224750,0.00000000,2.25626784,1.00000000,
121,1.34156216,0.00000000,2.30467022,1.00000000,
122,1.36452017,0.00000000,2.25763882,1.00000000,
123,1.38635601,0.00000000,2.43803974,1.00000000,
124,1.41000424,0.00000000,2.41113890,1.00000000,
125,1.44297188,0.00000000,2.48200934,1.00000000,
126,1.46009388,0.00000000,2.44117114,1.00000000,
127,1.49597963,0.00000000,2.62007323,1.00000000,
128,1.52577644,0.00000000,2.48807881,1.00000000,
129,1.54625243,0.00000000,2.56202771,1.00000000,
130,1.54966077,0.00000000,2.62446664,1.00000000,
131,1.55597380,0.00000000,2.61748055,1.00000000,
132,1.57756812,0.00000000,2.48524844,1.00000000,
133,1.59472064,0.00000000,2.54304900,1.00000000,
134,1.61856255,0.00000000,2.57236996,1.00000000,
135,1.64100063,0.00000000,2.62167576,1.00000000,
136,1.66333592,0.00000000,2.79390090,1.00000000,
137,1.69111739,0.00000000,2.79627057,1.00000000,
138,1.71420224,0.00000000,2.93042188,1.00000000,
139,1.74864207,0.00000000,2.98898486,1.00000000,
140,1.77392732,0.00000000,2.95869771,1.00000000,
141,1.81210460,0.00000000,2.97927749,1.00000000,
142,1.81677110,0.00000000,3.15627010,1.00000000,
143,1.85509261,0.00000000,3.06353125,1.00000000,
144,1.88127114,0.00000000,3.21191350,1.00000000,
145,1.88593698,0.00000000,3.16030735,1.00000000,
146,1.91544754,0.00000000,3.28160737,1.00000000,
147,1.93179662,0.00000000,3.29270857,1.00000000,
148,1.97035607,0.00000000,3.32871706,1.00000000,
149,1.99194977,0.00000000,3.35874711,1.00000000,
150,2.01465324,0.00000000,3.39031011,1.00000000,
151,2.06303062,0.00000000,3.39850883,1.00000000,
152,2.06926551,0.00000000,3.46560745,1.00000000,
153,2.08579592,0.00000000,3.62230242,1.00000000,
154,2.11497016,0.00000000,3.71437689,1.00000000,
155,2.14450622,0.00000000,3.73624650,1.00000000,
156,2.17419249,0.00000000,3.77507216,1.00000000,
157,2.18668939,0.00000000,3.93136747,1.00000000,
158,2.23371061,0.00000000,4.08971962,1.00000000,
159,2.23724967,0.00000000,4.34427474,1.00000000,
160,2.25696214,0.00000000,4.38771521,1.00000000,
161,2.26602133,0.00000000,4.57938690,1.00000000,
162,2.27761521,0.00000000,4.44526726,1.00000000,
163,2.31179425,0.00000000,4.40436027,1.00000000,
164,2.36190268,0.00000000,4.32205696,1.00000000,
165,2.38103175,0.00000000,4.39546881,1.00000000,
166,2.39245582,0.00000000,4.47529485,1.00000000,
167,2.39817972,0.00000000,4.61482980,1.00000000,
168,2.41866495,0.00000000,4.60669954,1.00000000,
169,2.45658158,0.00000000,4.50229208,1.00000000,
170,2.49107828,0.00000000,4.53354476,1.00000000,
171,2.50920634,0.00000000,4.63769388,1.00000000,
172,2.53713069,0.00000000,4.57344856,1.00000000,
173,2.57775500,0.00000000,4.35543593,1.00000000,
174,2.57192836,0.00000000,4.32007259,1.00000000,
175,2.56016884,0.00000000,4.37713742,1.00000000,
176,2.57973229,0.00000000,4.28546997,1.00000000,
177,2.58468994,0.00000000,4.14442906,1.00000000,
178,2.63196234,0.00000000,4.15059449,1.00000000,
179,2.64043265,0.00000000,4.15917870,1.00000000,
180,2.65910597,0.00000000,4.35432703,1.00000000,
181,2.68173311,0.00000000,4.29031342,1.00000000,
182,2.69314095,0.00000000,4.33883676,1.00000000,
183,2.71173326,0.00000000,4.69512054,1.00000000,
184,2.73569600,0.00000000,4.93100437,1.00000000,
185,2.74532949,0.00000000,5.10286994,1.00000000,
186,2.80663102,0.00000000,5.19345613,1.00000000,
187,2.87972105,0.00000000,5.24651769,1.00000000,
188,2.92355803,0.00000000,5.46585801,1.00000000,
189,2.93527453,0.00000000,5.37876493,1.00000000,
190,2.94199434,0.00000000,5.48178662,1.00000000,
191,2.98450155,0.00000000,5.74643149,1.00000000,
192,2.99488888,0.00000000,6.11377255,1.00000000,
193,3.03605127,0.00000000,6.13345421,1.00000000,
194,3.05967739,0.00000000,6.36206737,1.00000000,
195,3.07638426,0.00000000,6.19386874,1.00000000,
196,3.09408263,0.00000000,6.38152366,1.00000000,
197,3.15396717,0.00000000,6.61010117,1.00000000,
198,3.17425362,0.00000000,6.75198955,1.00000000,
