# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-29 10:53:55.895793
# There were exactly 4 units in this simulation
Unit-1,Unit-1_unisel,Unit-2,Unit-2_unisel,Unit-3,Unit-3_unisel,Unit-4,Unit-4_unisel,
0,-0.28835000,0.00000000,0.13890184,0.00000000,-0.45539701,0.00000000,-0.50690326,0.00000000
1,-0.25710000,0.00000000,0.12244059,0.00000000,-0.45931395,0.00000000,-0.50268706,0.00000000
2,-0.24308906,0.00000000,0.14842547,0.00000000,-0.43715307,0.00000000,-0.49884374,0.00000000
3,-0.23415240,0.00000000,0.13790182,0.00000000,-0.44695297,0.00000000,-0.49857461,0.00000000
4,-0.28742000,0.00000000,0.13890000,0.00000000,-0.45540000,0.00000000,-0.50207816,0.00000000
5,-0.26502645,0.00000000,0.14036328,0.00000000,-0.45186149,0.00000000,-0.50844807,0.00000000
6,-0.26458118,0.00000000,0.13500247,0.00000000,-0.43466212,0.00000000,-0.50553076,0.00000000
7,-0.25710000,0.00000000,0.14965099,0.00000000,-0.42766967,0.00000000,-0.50312449,0.00000000
8,-0.25328678,0.00000000,0.13826255,0.00000000,-0.43062942,0.00000000,-0.49828431,0.00000000
9,-0.24309000,0.00000000,0.14842000,0.00000000,-0.45932000,0.00000000,-0.50273403,0.00000000
10,-0.25923000,0.00000000,0.13730000,0.00000000,-0.45662000,0.00000000,-0.49820800,0.00000000
11,-0.25501000,0.00000000,0.10242000,0.00000000,-0.45969000,0.00000000,-0.49042000,0.00000000
12,-0.26430000,0.00000000,0.09841000,0.00000000,-0.45216000,0.00000000,-0.49998000,0.00000000
13,-0.29027000,0.00000000,0.10715000,0.00000000,-0.43572000,0.00000000,-0.50518000,0.00000000
14,-0.27349000,0.00000000,0.11680000,0.00000000,-0.46213000,0.00000000,-0.50715000,0.00000000
15,-0.29621000,0.00000000,0.11206000,0.00000000,-0.47081000,0.00000000,-0.50706000,0.00000000
16,-0.26922000,0.00000000,0.08729000,0.00000000,-0.46632000,0.00000000,-0.50905000,0.00000000
17,-0.30177000,0.00000000,0.08849000,0.00000000,-0.46939000,0.00000000,-0.50839000,0.00000000
18,-0.32125000,0.00000000,0.08373000,0.00000000,-0.46988000,0.00000000,-0.50925000,0.00000000
19,-0.33189000,0.00000000,0.09017000,0.00000000,-0.47571000,0.00000000,-0.50323000,0.00000000
20,-0.34646000,0.00000000,0.07531000,0.00000000,-0.47101000,0.00000000,-0.50392000,0.00000000
21,-0.35046000,0.00000000,0.06816000,0.00000000,-0.47988000,0.00000000,-0.50395000,0.00000000
22,-0.35849000,0.00000000,0.05582000,0.00000000,-0.50168000,0.00000000,-0.50793000,0.00000000
23,-0.35523000,0.00000000,0.07395000,0.00000000,-0.50837000,0.00000000,-0.51195000,0.00000000
24,-0.37115000,0.00000000,0.06580000,0.00000000,-0.49853000,0.00000000,-0.51147000,0.00000000
25,-0.37293000,0.00000000,0.05517000,0.00000000,-0.51125000,0.00000000,-0.51247000,0.00000000
26,-0.37259000,0.00000000,0.05464000,0.00000000,-0.50096000,0.00000000,-0.50993000,0.00000000
27,-0.36057000,0.00000000,0.04965000,0.00000000,-0.51208000,0.00000000,-0.51284000,0.00000000
28,-0.35403000,0.00000000,0.05923000,0.00000000,-0.52077000,0.00000000,-0.51041000,0.00000000
29,-0.33192000,0.00000000,0.07527000,0.00000000,-0.51199000,0.00000000,-0.50559000,0.00000000
30,-0.33737000,0.00000000,0.05364000,0.00000000,-0.51728000,0.00000000,-0.51171000,0.00000000
31,-0.33817000,0.00000000,0.05886000,0.00000000,-0.52099000,0.00000000,-0.51350000,0.00000000
32,-0.37597000,0.00000000,0.06614000,0.00000000,-0.50427000,0.00000000,-0.51737000,0.00000000
33,-0.38825000,0.00000000,0.07618000,0.00000000,-0.51128000,0.00000000,-0.50742000,0.00000000
34,-0.39224000,0.00000000,0.08261000,0.00000000,-0.50844000,0.00000000,-0.50115000,0.00000000
35,-0.41662000,0.00000000,0.09037000,0.00000000,-0.51137000,0.00000000,-0.49739000,0.00000000
36,-0.41564000,0.00000000,0.07323000,0.00000000,-0.51494000,0.00000000,-0.49091000,0.00000000
37,-0.40500000,0.00000000,0.05613000,0.00000000,-0.51817000,0.00000000,-0.48461000,0.00000000
38,-0.39054000,0.00000000,0.05164000,0.00000000,-0.51737000,0.00000000,-0.48286000,0.00000000
39,-0.40098000,0.00000000,0.05119000,0.00000000,-0.53230000,0.00000000,-0.47782000,0.00000000
40,-0.40676000,0.00000000,0.04023000,0.00000000,-0.53891000,0.00000000,-0.47232000,0.00000000
41,-0.38402000,0.00000000,0.05882000,0.00000000,-0.52927000,0.00000000,-0.47150000,0.00000000
42,-0.39616000,0.00000000,0.05441000,0.00000000,-0.51611000,0.00000000,-0.46191000,0.00000000
43,-0.38975000,0.00000000,0.07899000,0.00000000,-0.54723000,0.00000000,-0.45167000,0.00000000
44,-0.40545000,0.00000000,0.05205000,0.00000000,-0.54968000,0.00000000,-0.44592000,0.00000000
45,-0.40013000,0.00000000,0.03718000,0.00000000,-0.55140000,0.00000000,-0.44839000,0.00000000
46,-0.37201000,0.00000000,0.04366000,0.00000000,-0.56251000,0.00000000,-0.44770000,0.00000000
47,-0.36659000,0.00000000,0.06025000,0.00000000,-0.57001000,0.00000000,-0.44626000,0.00000000
